total questions,correct questions,Performance,Job Profile Name,correctness
5,1,Very Poor,Full Stack Developer,20
1,5,can't predict,Full Stack Developer,500
9,3,Poor,Full Stack Developer,33.33
5,6,can't predict,Full Stack Developer,120
8,5,Above Average,Database Administrator,62.5
8,10,can't predict,Full Stack Developer,125
3,9,can't predict,Artificial Intelligence (AI) Engineer,300
8,10,can't predict,Cybersecurity Analyst,125
1,0,Needs Improvement,Data Analyst,0
3,7,can't predict,Database Administrator,233.33
4,4,Excellent,Data Analyst,100
7,8,can't predict,Database Administrator,114.29
3,1,Poor,Full Stack Developer,33.33
9,7,Good,Artificial Intelligence (AI) Engineer,77.78
4,3,Good,Full Stack Developer,75
5,2,Below Average,Database Administrator,40
5,3,Above Average,Full Stack Developer,60
1,6,can't predict,Data Analyst,600
4,5,can't predict,Data Analyst,125
6,9,can't predict,Artificial Intelligence (AI) Engineer,150
7,3,Below Average,Data Analyst,42.86
9,1,Extremely Poor,Data Analyst,11.11
5,4,Very Good,Full Stack Developer,80
1,4,can't predict,Data Analyst,400
4,2,Average,Data Analyst,50
4,5,can't predict,Data Analyst,125
9,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
7,6,Very Good,Database Administrator,85.71
1,0,Needs Improvement,Data Analyst,0
8,3,Poor,Artificial Intelligence (AI) Engineer,37.5
7,8,can't predict,Artificial Intelligence (AI) Engineer,114.29
1,10,can't predict,Database Administrator,1000
2,1,Average,Full Stack Developer,50
1,3,can't predict,Data Analyst,300
10,0,Needs Improvement,Cybersecurity Analyst,0
2,10,can't predict,Full Stack Developer,500
7,8,can't predict,Cybersecurity Analyst,114.29
7,0,Needs Improvement,Data Analyst,0
10,1,Extremely Poor,Database Administrator,10
10,10,Excellent,Full Stack Developer,100
9,3,Poor,Data Analyst,33.33
7,9,can't predict,Cybersecurity Analyst,128.57
8,7,Very Good,Database Administrator,87.5
5,7,can't predict,Artificial Intelligence (AI) Engineer,140
1,7,can't predict,Data Analyst,700
9,2,Very Poor,Database Administrator,22.22
6,2,Poor,Data Analyst,33.33
7,5,Good,Full Stack Developer,71.43
7,1,Extremely Poor,Full Stack Developer,14.29
5,5,Excellent,Full Stack Developer,100
10,3,Poor,Cybersecurity Analyst,30
4,2,Average,Full Stack Developer,50
7,4,Average,Full Stack Developer,57.14
3,2,Above Average,Database Administrator,66.67
8,7,Very Good,Artificial Intelligence (AI) Engineer,87.5
3,3,Excellent,Data Analyst,100
8,6,Good,Data Analyst,75
3,7,can't predict,Data Analyst,233.33
4,10,can't predict,Cybersecurity Analyst,250
4,0,Needs Improvement,Full Stack Developer,0
3,6,can't predict,Cybersecurity Analyst,200
4,8,can't predict,Data Analyst,200
6,3,Average,Artificial Intelligence (AI) Engineer,50
10,8,Very Good,Full Stack Developer,80
8,2,Very Poor,Cybersecurity Analyst,25
5,7,can't predict,Data Analyst,140
6,9,can't predict,Full Stack Developer,150
5,0,Needs Improvement,Data Analyst,0
4,9,can't predict,Data Analyst,225
4,9,can't predict,Artificial Intelligence (AI) Engineer,225
3,6,can't predict,Full Stack Developer,200
8,4,Average,Data Analyst,50
10,0,Needs Improvement,Data Analyst,0
7,10,can't predict,Database Administrator,142.86
9,8,Very Good,Data Analyst,88.89
6,1,Extremely Poor,Data Analyst,16.67
9,1,Extremely Poor,Data Analyst,11.11
6,4,Above Average,Full Stack Developer,66.67
10,7,Good,Database Administrator,70
7,4,Average,Data Analyst,57.14
1,7,can't predict,Data Analyst,700
5,6,can't predict,Full Stack Developer,120
6,4,Above Average,Cybersecurity Analyst,66.67
2,10,can't predict,Artificial Intelligence (AI) Engineer,500
6,5,Very Good,Artificial Intelligence (AI) Engineer,83.33
7,2,Very Poor,Artificial Intelligence (AI) Engineer,28.57
1,3,can't predict,Database Administrator,300
8,2,Very Poor,Full Stack Developer,25
7,0,Needs Improvement,Cybersecurity Analyst,0
10,3,Poor,Database Administrator,30
6,3,Average,Artificial Intelligence (AI) Engineer,50
9,3,Poor,Data Analyst,33.33
10,5,Average,Data Analyst,50
8,10,can't predict,Artificial Intelligence (AI) Engineer,125
9,7,Good,Full Stack Developer,77.78
8,10,can't predict,Artificial Intelligence (AI) Engineer,125
9,2,Very Poor,Full Stack Developer,22.22
1,2,can't predict,Artificial Intelligence (AI) Engineer,200
7,10,can't predict,Full Stack Developer,142.86
5,0,Needs Improvement,Database Administrator,0
2,1,Average,Full Stack Developer,50
1,0,Needs Improvement,Full Stack Developer,0
6,3,Average,Data Analyst,50
5,0,Needs Improvement,Full Stack Developer,0
5,8,can't predict,Database Administrator,160
10,6,Above Average,Data Analyst,60
8,2,Very Poor,Full Stack Developer,25
8,8,Excellent,Full Stack Developer,100
9,8,Very Good,Database Administrator,88.89
1,5,can't predict,Data Analyst,500
1,8,can't predict,Full Stack Developer,800
8,7,Very Good,Database Administrator,87.5
7,4,Average,Database Administrator,57.14
10,6,Above Average,Artificial Intelligence (AI) Engineer,60
9,3,Poor,Full Stack Developer,33.33
4,10,can't predict,Full Stack Developer,250
6,9,can't predict,Artificial Intelligence (AI) Engineer,150
5,9,can't predict,Data Analyst,180
10,5,Average,Data Analyst,50
5,8,can't predict,Cybersecurity Analyst,160
1,0,Needs Improvement,Data Analyst,0
3,4,can't predict,Database Administrator,133.33
7,7,Excellent,Artificial Intelligence (AI) Engineer,100
7,3,Below Average,Cybersecurity Analyst,42.86
6,8,can't predict,Artificial Intelligence (AI) Engineer,133.33
3,0,Needs Improvement,Database Administrator,0
2,4,can't predict,Database Administrator,200
9,3,Poor,Artificial Intelligence (AI) Engineer,33.33
6,3,Average,Database Administrator,50
7,6,Very Good,Full Stack Developer,85.71
9,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
4,7,can't predict,Full Stack Developer,175
8,0,Needs Improvement,Database Administrator,0
7,1,Extremely Poor,Database Administrator,14.29
10,7,Good,Data Analyst,70
8,1,Extremely Poor,Data Analyst,12.5
1,9,can't predict,Database Administrator,900
5,5,Excellent,Full Stack Developer,100
9,4,Below Average,Data Analyst,44.44
2,6,can't predict,Cybersecurity Analyst,300
10,8,Very Good,Data Analyst,80
2,10,can't predict,Full Stack Developer,500
3,2,Above Average,Full Stack Developer,66.67
6,2,Poor,Artificial Intelligence (AI) Engineer,33.33
3,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
8,3,Poor,Full Stack Developer,37.5
4,1,Very Poor,Artificial Intelligence (AI) Engineer,25
5,0,Needs Improvement,Cybersecurity Analyst,0
10,6,Above Average,Artificial Intelligence (AI) Engineer,60
4,1,Very Poor,Cybersecurity Analyst,25
3,6,can't predict,Database Administrator,200
10,0,Needs Improvement,Full Stack Developer,0
2,2,Excellent,Artificial Intelligence (AI) Engineer,100
10,10,Excellent,Cybersecurity Analyst,100
2,4,can't predict,Artificial Intelligence (AI) Engineer,200
7,7,Excellent,Artificial Intelligence (AI) Engineer,100
6,6,Excellent,Full Stack Developer,100
5,2,Below Average,Data Analyst,40
8,10,can't predict,Database Administrator,125
7,5,Good,Data Analyst,71.43
4,10,can't predict,Database Administrator,250
2,1,Average,Artificial Intelligence (AI) Engineer,50
9,7,Good,Cybersecurity Analyst,77.78
8,7,Very Good,Artificial Intelligence (AI) Engineer,87.5
9,5,Average,Database Administrator,55.56
4,4,Excellent,Data Analyst,100
10,4,Below Average,Artificial Intelligence (AI) Engineer,40
1,2,can't predict,Full Stack Developer,200
9,0,Needs Improvement,Database Administrator,0
1,3,can't predict,Database Administrator,300
9,6,Above Average,Artificial Intelligence (AI) Engineer,66.67
3,5,can't predict,Artificial Intelligence (AI) Engineer,166.67
1,3,can't predict,Database Administrator,300
8,2,Very Poor,Database Administrator,25
8,1,Extremely Poor,Database Administrator,12.5
7,1,Extremely Poor,Cybersecurity Analyst,14.29
7,5,Good,Artificial Intelligence (AI) Engineer,71.43
5,6,can't predict,Artificial Intelligence (AI) Engineer,120
7,7,Excellent,Artificial Intelligence (AI) Engineer,100
9,1,Extremely Poor,Full Stack Developer,11.11
9,5,Average,Database Administrator,55.56
5,9,can't predict,Full Stack Developer,180
5,6,can't predict,Artificial Intelligence (AI) Engineer,120
1,6,can't predict,Data Analyst,600
5,3,Above Average,Database Administrator,60
1,0,Needs Improvement,Full Stack Developer,0
2,5,can't predict,Artificial Intelligence (AI) Engineer,250
8,10,can't predict,Full Stack Developer,125
7,1,Extremely Poor,Data Analyst,14.29
1,2,can't predict,Database Administrator,200
3,7,can't predict,Artificial Intelligence (AI) Engineer,233.33
10,2,Very Poor,Data Analyst,20
1,2,can't predict,Database Administrator,200
7,1,Extremely Poor,Full Stack Developer,14.29
2,2,Excellent,Cybersecurity Analyst,100
6,10,can't predict,Artificial Intelligence (AI) Engineer,166.67
9,10,can't predict,Full Stack Developer,111.11
9,9,Excellent,Artificial Intelligence (AI) Engineer,100
2,3,can't predict,Artificial Intelligence (AI) Engineer,150
1,3,can't predict,Full Stack Developer,300
7,9,can't predict,Database Administrator,128.57
10,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
2,8,can't predict,Full Stack Developer,400
6,5,Very Good,Data Analyst,83.33
1,2,can't predict,Data Analyst,200
10,5,Average,Artificial Intelligence (AI) Engineer,50
9,7,Good,Database Administrator,77.78
3,7,can't predict,Artificial Intelligence (AI) Engineer,233.33
2,2,Excellent,Cybersecurity Analyst,100
8,6,Good,Full Stack Developer,75
1,7,can't predict,Artificial Intelligence (AI) Engineer,700
5,7,can't predict,Full Stack Developer,140
10,0,Needs Improvement,Data Analyst,0
6,0,Needs Improvement,Data Analyst,0
3,9,can't predict,Data Analyst,300
7,9,can't predict,Artificial Intelligence (AI) Engineer,128.57
8,6,Good,Artificial Intelligence (AI) Engineer,75
4,8,can't predict,Data Analyst,200
3,0,Needs Improvement,Database Administrator,0
1,7,can't predict,Database Administrator,700
7,8,can't predict,Artificial Intelligence (AI) Engineer,114.29
6,3,Average,Data Analyst,50
4,6,can't predict,Artificial Intelligence (AI) Engineer,150
9,8,Very Good,Database Administrator,88.89
10,3,Poor,Cybersecurity Analyst,30
4,3,Good,Data Analyst,75
9,8,Very Good,Data Analyst,88.89
2,6,can't predict,Full Stack Developer,300
5,6,can't predict,Database Administrator,120
2,0,Needs Improvement,Full Stack Developer,0
6,6,Excellent,Database Administrator,100
9,9,Excellent,Database Administrator,100
10,7,Good,Full Stack Developer,70
3,0,Needs Improvement,Full Stack Developer,0
7,6,Very Good,Data Analyst,85.71
7,4,Average,Full Stack Developer,57.14
5,5,Excellent,Data Analyst,100
8,0,Needs Improvement,Data Analyst,0
4,2,Average,Artificial Intelligence (AI) Engineer,50
1,4,can't predict,Data Analyst,400
10,3,Poor,Data Analyst,30
8,7,Very Good,Cybersecurity Analyst,87.5
2,4,can't predict,Database Administrator,200
8,8,Excellent,Data Analyst,100
10,5,Average,Database Administrator,50
10,0,Needs Improvement,Database Administrator,0
9,8,Very Good,Full Stack Developer,88.89
3,9,can't predict,Artificial Intelligence (AI) Engineer,300
7,6,Very Good,Data Analyst,85.71
7,1,Extremely Poor,Full Stack Developer,14.29
5,2,Below Average,Database Administrator,40
2,6,can't predict,Artificial Intelligence (AI) Engineer,300
8,6,Good,Artificial Intelligence (AI) Engineer,75
6,1,Extremely Poor,Data Analyst,16.67
10,1,Extremely Poor,Artificial Intelligence (AI) Engineer,10
3,8,can't predict,Data Analyst,266.67
2,9,can't predict,Cybersecurity Analyst,450
7,10,can't predict,Full Stack Developer,142.86
6,7,can't predict,Full Stack Developer,116.67
1,10,can't predict,Artificial Intelligence (AI) Engineer,1000
8,3,Poor,Artificial Intelligence (AI) Engineer,37.5
6,7,can't predict,Full Stack Developer,116.67
6,9,can't predict,Full Stack Developer,150
6,2,Poor,Artificial Intelligence (AI) Engineer,33.33
1,3,can't predict,Cybersecurity Analyst,300
5,1,Very Poor,Data Analyst,20
2,5,can't predict,Artificial Intelligence (AI) Engineer,250
1,6,can't predict,Full Stack Developer,600
6,8,can't predict,Cybersecurity Analyst,133.33
8,9,can't predict,Data Analyst,112.5
3,10,can't predict,Full Stack Developer,333.33
1,6,can't predict,Data Analyst,600
2,3,can't predict,Full Stack Developer,150
7,2,Very Poor,Cybersecurity Analyst,28.57
3,4,can't predict,Cybersecurity Analyst,133.33
3,7,can't predict,Cybersecurity Analyst,233.33
1,8,can't predict,Full Stack Developer,800
10,10,Excellent,Full Stack Developer,100
6,7,can't predict,Cybersecurity Analyst,116.67
9,7,Good,Full Stack Developer,77.78
7,8,can't predict,Artificial Intelligence (AI) Engineer,114.29
4,4,Excellent,Cybersecurity Analyst,100
9,0,Needs Improvement,Data Analyst,0
10,0,Needs Improvement,Database Administrator,0
6,3,Average,Database Administrator,50
6,8,can't predict,Full Stack Developer,133.33
7,4,Average,Artificial Intelligence (AI) Engineer,57.14
7,10,can't predict,Database Administrator,142.86
2,9,can't predict,Artificial Intelligence (AI) Engineer,450
4,6,can't predict,Data Analyst,150
7,2,Very Poor,Data Analyst,28.57
9,10,can't predict,Full Stack Developer,111.11
9,8,Very Good,Database Administrator,88.89
2,5,can't predict,Data Analyst,250
4,7,can't predict,Database Administrator,175
4,4,Excellent,Full Stack Developer,100
8,6,Good,Artificial Intelligence (AI) Engineer,75
1,10,can't predict,Full Stack Developer,1000
10,7,Good,Data Analyst,70
7,2,Very Poor,Full Stack Developer,28.57
1,1,Excellent,Data Analyst,100
10,10,Excellent,Artificial Intelligence (AI) Engineer,100
6,9,can't predict,Database Administrator,150
4,2,Average,Full Stack Developer,50
2,4,can't predict,Full Stack Developer,200
10,0,Needs Improvement,Data Analyst,0
2,6,can't predict,Data Analyst,300
4,4,Excellent,Data Analyst,100
1,9,can't predict,Full Stack Developer,900
9,3,Poor,Data Analyst,33.33
10,1,Extremely Poor,Full Stack Developer,10
1,4,can't predict,Cybersecurity Analyst,400
10,6,Above Average,Full Stack Developer,60
1,7,can't predict,Data Analyst,700
10,5,Average,Full Stack Developer,50
8,9,can't predict,Data Analyst,112.5
10,2,Very Poor,Cybersecurity Analyst,20
10,9,Excellent,Data Analyst,90
9,5,Average,Artificial Intelligence (AI) Engineer,55.56
9,1,Extremely Poor,Data Analyst,11.11
2,7,can't predict,Cybersecurity Analyst,350
10,4,Below Average,Artificial Intelligence (AI) Engineer,40
5,2,Below Average,Full Stack Developer,40
4,2,Average,Data Analyst,50
5,4,Very Good,Artificial Intelligence (AI) Engineer,80
4,8,can't predict,Data Analyst,200
10,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
7,1,Extremely Poor,Data Analyst,14.29
1,1,Excellent,Full Stack Developer,100
5,8,can't predict,Database Administrator,160
9,1,Extremely Poor,Cybersecurity Analyst,11.11
3,1,Poor,Artificial Intelligence (AI) Engineer,33.33
5,5,Excellent,Data Analyst,100
8,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
9,3,Poor,Data Analyst,33.33
1,8,can't predict,Database Administrator,800
7,4,Average,Data Analyst,57.14
3,1,Poor,Cybersecurity Analyst,33.33
9,0,Needs Improvement,Data Analyst,0
7,3,Below Average,Data Analyst,42.86
3,4,can't predict,Artificial Intelligence (AI) Engineer,133.33
1,4,can't predict,Data Analyst,400
4,4,Excellent,Data Analyst,100
4,4,Excellent,Artificial Intelligence (AI) Engineer,100
9,3,Poor,Artificial Intelligence (AI) Engineer,33.33
3,7,can't predict,Full Stack Developer,233.33
2,2,Excellent,Cybersecurity Analyst,100
3,2,Above Average,Full Stack Developer,66.67
8,1,Extremely Poor,Database Administrator,12.5
10,10,Excellent,Data Analyst,100
7,1,Extremely Poor,Artificial Intelligence (AI) Engineer,14.29
8,7,Very Good,Cybersecurity Analyst,87.5
6,3,Average,Data Analyst,50
3,10,can't predict,Cybersecurity Analyst,333.33
8,1,Extremely Poor,Data Analyst,12.5
4,9,can't predict,Full Stack Developer,225
2,4,can't predict,Database Administrator,200
2,8,can't predict,Full Stack Developer,400
1,3,can't predict,Artificial Intelligence (AI) Engineer,300
3,7,can't predict,Artificial Intelligence (AI) Engineer,233.33
10,6,Above Average,Data Analyst,60
1,0,Needs Improvement,Full Stack Developer,0
2,2,Excellent,Data Analyst,100
3,1,Poor,Full Stack Developer,33.33
6,3,Average,Full Stack Developer,50
3,7,can't predict,Data Analyst,233.33
9,10,can't predict,Cybersecurity Analyst,111.11
10,1,Extremely Poor,Data Analyst,10
2,6,can't predict,Data Analyst,300
10,6,Above Average,Data Analyst,60
10,8,Very Good,Full Stack Developer,80
7,5,Good,Full Stack Developer,71.43
3,10,can't predict,Full Stack Developer,333.33
4,8,can't predict,Data Analyst,200
5,3,Above Average,Data Analyst,60
3,1,Poor,Cybersecurity Analyst,33.33
7,10,can't predict,Data Analyst,142.86
10,3,Poor,Artificial Intelligence (AI) Engineer,30
2,3,can't predict,Cybersecurity Analyst,150
2,0,Needs Improvement,Full Stack Developer,0
9,6,Above Average,Data Analyst,66.67
2,2,Excellent,Data Analyst,100
6,7,can't predict,Data Analyst,116.67
5,5,Excellent,Data Analyst,100
2,5,can't predict,Artificial Intelligence (AI) Engineer,250
2,7,can't predict,Full Stack Developer,350
3,5,can't predict,Database Administrator,166.67
9,6,Above Average,Full Stack Developer,66.67
1,5,can't predict,Data Analyst,500
2,3,can't predict,Data Analyst,150
4,9,can't predict,Database Administrator,225
3,2,Above Average,Data Analyst,66.67
9,6,Above Average,Cybersecurity Analyst,66.67
7,5,Good,Data Analyst,71.43
7,5,Good,Artificial Intelligence (AI) Engineer,71.43
8,4,Average,Data Analyst,50
10,9,Excellent,Full Stack Developer,90
5,8,can't predict,Database Administrator,160
9,7,Good,Artificial Intelligence (AI) Engineer,77.78
3,7,can't predict,Data Analyst,233.33
6,8,can't predict,Full Stack Developer,133.33
10,5,Average,Data Analyst,50
1,10,can't predict,Full Stack Developer,1000
1,7,can't predict,Data Analyst,700
10,0,Needs Improvement,Data Analyst,0
6,8,can't predict,Artificial Intelligence (AI) Engineer,133.33
9,7,Good,Database Administrator,77.78
3,3,Excellent,Artificial Intelligence (AI) Engineer,100
8,7,Very Good,Full Stack Developer,87.5
4,6,can't predict,Cybersecurity Analyst,150
7,1,Extremely Poor,Cybersecurity Analyst,14.29
3,1,Poor,Full Stack Developer,33.33
4,7,can't predict,Database Administrator,175
4,9,can't predict,Database Administrator,225
3,0,Needs Improvement,Data Analyst,0
6,4,Above Average,Artificial Intelligence (AI) Engineer,66.67
7,7,Excellent,Full Stack Developer,100
5,10,can't predict,Database Administrator,200
8,4,Average,Full Stack Developer,50
7,10,can't predict,Data Analyst,142.86
5,9,can't predict,Cybersecurity Analyst,180
5,4,Very Good,Data Analyst,80
3,2,Above Average,Data Analyst,66.67
6,1,Extremely Poor,Database Administrator,16.67
8,1,Extremely Poor,Artificial Intelligence (AI) Engineer,12.5
3,0,Needs Improvement,Data Analyst,0
10,4,Below Average,Database Administrator,40
4,8,can't predict,Artificial Intelligence (AI) Engineer,200
6,1,Extremely Poor,Data Analyst,16.67
4,5,can't predict,Cybersecurity Analyst,125
9,5,Average,Data Analyst,55.56
10,3,Poor,Data Analyst,30
5,6,can't predict,Data Analyst,120
5,1,Very Poor,Data Analyst,20
2,5,can't predict,Database Administrator,250
2,9,can't predict,Data Analyst,450
9,0,Needs Improvement,Data Analyst,0
5,1,Very Poor,Artificial Intelligence (AI) Engineer,20
10,10,Excellent,Data Analyst,100
3,0,Needs Improvement,Cybersecurity Analyst,0
8,5,Above Average,Database Administrator,62.5
5,7,can't predict,Data Analyst,140
4,0,Needs Improvement,Data Analyst,0
8,1,Extremely Poor,Data Analyst,12.5
3,7,can't predict,Database Administrator,233.33
6,9,can't predict,Data Analyst,150
10,9,Excellent,Full Stack Developer,90
6,3,Average,Full Stack Developer,50
10,7,Good,Artificial Intelligence (AI) Engineer,70
3,9,can't predict,Full Stack Developer,300
7,1,Extremely Poor,Cybersecurity Analyst,14.29
2,4,can't predict,Data Analyst,200
4,9,can't predict,Full Stack Developer,225
9,10,can't predict,Full Stack Developer,111.11
4,5,can't predict,Artificial Intelligence (AI) Engineer,125
8,1,Extremely Poor,Full Stack Developer,12.5
1,8,can't predict,Data Analyst,800
6,8,can't predict,Data Analyst,133.33
3,1,Poor,Full Stack Developer,33.33
3,1,Poor,Data Analyst,33.33
10,7,Good,Database Administrator,70
5,8,can't predict,Database Administrator,160
6,4,Above Average,Artificial Intelligence (AI) Engineer,66.67
8,2,Very Poor,Artificial Intelligence (AI) Engineer,25
8,10,can't predict,Cybersecurity Analyst,125
8,1,Extremely Poor,Cybersecurity Analyst,12.5
9,7,Good,Artificial Intelligence (AI) Engineer,77.78
2,7,can't predict,Data Analyst,350
9,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
7,0,Needs Improvement,Cybersecurity Analyst,0
7,2,Very Poor,Data Analyst,28.57
9,6,Above Average,Full Stack Developer,66.67
8,8,Excellent,Data Analyst,100
8,1,Extremely Poor,Artificial Intelligence (AI) Engineer,12.5
3,0,Needs Improvement,Cybersecurity Analyst,0
3,9,can't predict,Cybersecurity Analyst,300
7,6,Very Good,Data Analyst,85.71
1,10,can't predict,Full Stack Developer,1000
7,1,Extremely Poor,Full Stack Developer,14.29
8,1,Extremely Poor,Data Analyst,12.5
9,1,Extremely Poor,Artificial Intelligence (AI) Engineer,11.11
9,1,Extremely Poor,Artificial Intelligence (AI) Engineer,11.11
1,4,can't predict,Artificial Intelligence (AI) Engineer,400
2,2,Excellent,Data Analyst,100
2,2,Excellent,Cybersecurity Analyst,100
4,9,can't predict,Data Analyst,225
7,1,Extremely Poor,Database Administrator,14.29
1,0,Needs Improvement,Data Analyst,0
5,6,can't predict,Data Analyst,120
9,7,Good,Data Analyst,77.78
8,5,Above Average,Data Analyst,62.5
2,3,can't predict,Data Analyst,150
8,4,Average,Full Stack Developer,50
8,6,Good,Data Analyst,75
10,2,Very Poor,Full Stack Developer,20
8,3,Poor,Artificial Intelligence (AI) Engineer,37.5
8,5,Above Average,Artificial Intelligence (AI) Engineer,62.5
7,2,Very Poor,Data Analyst,28.57
