total questions,correct questions,Performance,Job Profile Name,correctness
1,10,can't predict,Artificial Intelligence (AI) Engineer,1000
3,2,Above Average,Full Stack Developer,66.67
2,10,can't predict,Database Administrator,500
9,4,Below Average,Full Stack Developer,44.44
1,1,Excellent,Data Analyst,100
3,8,can't predict,Cybersecurity Analyst,266.67
5,2,Below Average,Cybersecurity Analyst,40
5,7,can't predict,Cybersecurity Analyst,140
5,8,can't predict,Database Administrator,160
5,1,Very Poor,Cybersecurity Analyst,20
10,8,Very Good,Cybersecurity Analyst,80
1,7,can't predict,Cybersecurity Analyst,700
1,1,Excellent,Data Analyst,100
2,6,can't predict,Artificial Intelligence (AI) Engineer,300
6,7,can't predict,Data Analyst,116.67
2,2,Excellent,Database Administrator,100
5,6,can't predict,Cybersecurity Analyst,120
6,0,Needs Improvement,Cybersecurity Analyst,0
2,7,can't predict,Artificial Intelligence (AI) Engineer,350
2,9,can't predict,Data Analyst,450
10,8,Very Good,Full Stack Developer,80
9,2,Very Poor,Full Stack Developer,22.22
3,10,can't predict,Full Stack Developer,333.33
9,10,can't predict,Full Stack Developer,111.11
8,4,Average,Artificial Intelligence (AI) Engineer,50
7,1,Extremely Poor,Database Administrator,14.29
9,6,Above Average,Data Analyst,66.67
9,2,Very Poor,Full Stack Developer,22.22
2,9,can't predict,Full Stack Developer,450
2,7,can't predict,Data Analyst,350
7,3,Below Average,Full Stack Developer,42.86
4,3,Good,Data Analyst,75
4,7,can't predict,Cybersecurity Analyst,175
10,10,Excellent,Artificial Intelligence (AI) Engineer,100
3,10,can't predict,Full Stack Developer,333.33
7,2,Very Poor,Artificial Intelligence (AI) Engineer,28.57
3,7,can't predict,Data Analyst,233.33
4,0,Needs Improvement,Full Stack Developer,0
2,3,can't predict,Cybersecurity Analyst,150
1,0,Needs Improvement,Full Stack Developer,0
4,10,can't predict,Database Administrator,250
1,1,Excellent,Cybersecurity Analyst,100
7,7,Excellent,Cybersecurity Analyst,100
8,0,Needs Improvement,Data Analyst,0
4,5,can't predict,Artificial Intelligence (AI) Engineer,125
2,2,Excellent,Database Administrator,100
6,2,Poor,Data Analyst,33.33
4,1,Very Poor,Data Analyst,25
7,2,Very Poor,Data Analyst,28.57
9,9,Excellent,Full Stack Developer,100
3,5,can't predict,Cybersecurity Analyst,166.67
8,8,Excellent,Artificial Intelligence (AI) Engineer,100
8,3,Poor,Artificial Intelligence (AI) Engineer,37.5
5,5,Excellent,Artificial Intelligence (AI) Engineer,100
8,9,can't predict,Data Analyst,112.5
3,2,Above Average,Database Administrator,66.67
3,4,can't predict,Full Stack Developer,133.33
10,2,Very Poor,Data Analyst,20
5,2,Below Average,Data Analyst,40
2,1,Average,Full Stack Developer,50
6,4,Above Average,Full Stack Developer,66.67
8,2,Very Poor,Data Analyst,25
3,5,can't predict,Full Stack Developer,166.67
1,7,can't predict,Cybersecurity Analyst,700
9,9,Excellent,Data Analyst,100
7,5,Good,Database Administrator,71.43
4,8,can't predict,Cybersecurity Analyst,200
5,4,Very Good,Data Analyst,80
4,8,can't predict,Database Administrator,200
8,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
4,5,can't predict,Data Analyst,125
2,2,Excellent,Data Analyst,100
1,3,can't predict,Data Analyst,300
2,0,Needs Improvement,Full Stack Developer,0
1,8,can't predict,Cybersecurity Analyst,800
9,0,Needs Improvement,Data Analyst,0
6,10,can't predict,Full Stack Developer,166.67
3,6,can't predict,Data Analyst,200
3,10,can't predict,Data Analyst,333.33
4,0,Needs Improvement,Data Analyst,0
10,10,Excellent,Artificial Intelligence (AI) Engineer,100
1,6,can't predict,Data Analyst,600
6,3,Average,Artificial Intelligence (AI) Engineer,50
7,6,Very Good,Database Administrator,85.71
9,6,Above Average,Cybersecurity Analyst,66.67
10,8,Very Good,Database Administrator,80
9,7,Good,Full Stack Developer,77.78
6,7,can't predict,Database Administrator,116.67
2,2,Excellent,Artificial Intelligence (AI) Engineer,100
6,8,can't predict,Cybersecurity Analyst,133.33
4,3,Good,Artificial Intelligence (AI) Engineer,75
2,5,can't predict,Database Administrator,250
7,0,Needs Improvement,Cybersecurity Analyst,0
4,1,Very Poor,Cybersecurity Analyst,25
3,7,can't predict,Cybersecurity Analyst,233.33
5,2,Below Average,Database Administrator,40
4,8,can't predict,Full Stack Developer,200
2,6,can't predict,Cybersecurity Analyst,300
10,3,Poor,Data Analyst,30
7,2,Very Poor,Database Administrator,28.57
3,2,Above Average,Cybersecurity Analyst,66.67
10,5,Average,Cybersecurity Analyst,50
8,8,Excellent,Database Administrator,100
7,5,Good,Full Stack Developer,71.43
10,3,Poor,Full Stack Developer,30
7,6,Very Good,Artificial Intelligence (AI) Engineer,85.71
3,9,can't predict,Data Analyst,300
3,9,can't predict,Full Stack Developer,300
10,6,Above Average,Artificial Intelligence (AI) Engineer,60
9,2,Very Poor,Database Administrator,22.22
4,2,Average,Artificial Intelligence (AI) Engineer,50
4,2,Average,Full Stack Developer,50
1,0,Needs Improvement,Database Administrator,0
10,1,Extremely Poor,Cybersecurity Analyst,10
10,6,Above Average,Database Administrator,60
10,3,Poor,Data Analyst,30
3,10,can't predict,Full Stack Developer,333.33
5,1,Very Poor,Data Analyst,20
2,10,can't predict,Cybersecurity Analyst,500
5,5,Excellent,Cybersecurity Analyst,100
8,7,Very Good,Artificial Intelligence (AI) Engineer,87.5
7,0,Needs Improvement,Data Analyst,0
10,9,Excellent,Full Stack Developer,90
5,5,Excellent,Database Administrator,100
7,3,Below Average,Data Analyst,42.86
8,2,Very Poor,Data Analyst,25
5,3,Above Average,Data Analyst,60
8,2,Very Poor,Data Analyst,25
3,9,can't predict,Database Administrator,300
4,5,can't predict,Data Analyst,125
2,4,can't predict,Full Stack Developer,200
9,7,Good,Database Administrator,77.78
7,4,Average,Data Analyst,57.14
3,9,can't predict,Data Analyst,300
6,2,Poor,Full Stack Developer,33.33
7,10,can't predict,Artificial Intelligence (AI) Engineer,142.86
4,8,can't predict,Data Analyst,200
7,1,Extremely Poor,Data Analyst,14.29
1,0,Needs Improvement,Data Analyst,0
1,7,can't predict,Data Analyst,700
10,9,Excellent,Full Stack Developer,90
3,4,can't predict,Data Analyst,133.33
9,7,Good,Data Analyst,77.78
8,3,Poor,Cybersecurity Analyst,37.5
9,7,Good,Artificial Intelligence (AI) Engineer,77.78
8,4,Average,Full Stack Developer,50
7,9,can't predict,Cybersecurity Analyst,128.57
2,8,can't predict,Full Stack Developer,400
7,4,Average,Data Analyst,57.14
4,3,Good,Full Stack Developer,75
2,6,can't predict,Full Stack Developer,300
8,0,Needs Improvement,Data Analyst,0
4,2,Average,Database Administrator,50
4,3,Good,Full Stack Developer,75
3,5,can't predict,Database Administrator,166.67
4,7,can't predict,Artificial Intelligence (AI) Engineer,175
2,2,Excellent,Artificial Intelligence (AI) Engineer,100
3,5,can't predict,Database Administrator,166.67
7,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
2,9,can't predict,Data Analyst,450
8,2,Very Poor,Artificial Intelligence (AI) Engineer,25
5,10,can't predict,Data Analyst,200
7,10,can't predict,Database Administrator,142.86
5,5,Excellent,Artificial Intelligence (AI) Engineer,100
8,9,can't predict,Data Analyst,112.5
6,8,can't predict,Full Stack Developer,133.33
7,2,Very Poor,Database Administrator,28.57
7,9,can't predict,Artificial Intelligence (AI) Engineer,128.57
2,5,can't predict,Full Stack Developer,250
2,2,Excellent,Full Stack Developer,100
4,5,can't predict,Data Analyst,125
1,9,can't predict,Database Administrator,900
9,4,Below Average,Data Analyst,44.44
7,4,Average,Full Stack Developer,57.14
6,4,Above Average,Cybersecurity Analyst,66.67
2,10,can't predict,Artificial Intelligence (AI) Engineer,500
3,7,can't predict,Artificial Intelligence (AI) Engineer,233.33
5,0,Needs Improvement,Data Analyst,0
8,6,Good,Cybersecurity Analyst,75
6,9,can't predict,Artificial Intelligence (AI) Engineer,150
7,6,Very Good,Database Administrator,85.71
10,5,Average,Artificial Intelligence (AI) Engineer,50
5,1,Very Poor,Data Analyst,20
3,3,Excellent,Data Analyst,100
6,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
7,10,can't predict,Cybersecurity Analyst,142.86
7,7,Excellent,Artificial Intelligence (AI) Engineer,100
1,1,Excellent,Data Analyst,100
6,10,can't predict,Database Administrator,166.67
1,7,can't predict,Cybersecurity Analyst,700
5,0,Needs Improvement,Data Analyst,0
6,10,can't predict,Artificial Intelligence (AI) Engineer,166.67
10,2,Very Poor,Cybersecurity Analyst,20
1,5,can't predict,Database Administrator,500
7,7,Excellent,Full Stack Developer,100
1,6,can't predict,Data Analyst,600
3,1,Poor,Data Analyst,33.33
3,4,can't predict,Artificial Intelligence (AI) Engineer,133.33
10,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
9,0,Needs Improvement,Database Administrator,0
10,4,Below Average,Full Stack Developer,40
6,7,can't predict,Database Administrator,116.67
5,6,can't predict,Cybersecurity Analyst,120
8,4,Average,Full Stack Developer,50
9,1,Extremely Poor,Data Analyst,11.11
7,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
4,1,Very Poor,Data Analyst,25
5,8,can't predict,Cybersecurity Analyst,160
2,10,can't predict,Cybersecurity Analyst,500
2,10,can't predict,Cybersecurity Analyst,500
2,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
2,2,Excellent,Full Stack Developer,100
6,8,can't predict,Data Analyst,133.33
2,10,can't predict,Artificial Intelligence (AI) Engineer,500
6,2,Poor,Full Stack Developer,33.33
4,5,can't predict,Full Stack Developer,125
4,7,can't predict,Data Analyst,175
5,4,Very Good,Cybersecurity Analyst,80
3,3,Excellent,Artificial Intelligence (AI) Engineer,100
2,3,can't predict,Cybersecurity Analyst,150
6,5,Very Good,Data Analyst,83.33
8,3,Poor,Database Administrator,37.5
7,3,Below Average,Full Stack Developer,42.86
5,7,can't predict,Data Analyst,140
9,2,Very Poor,Full Stack Developer,22.22
6,4,Above Average,Artificial Intelligence (AI) Engineer,66.67
3,8,can't predict,Data Analyst,266.67
6,6,Excellent,Cybersecurity Analyst,100
8,4,Average,Cybersecurity Analyst,50
10,6,Above Average,Artificial Intelligence (AI) Engineer,60
9,6,Above Average,Full Stack Developer,66.67
3,6,can't predict,Full Stack Developer,200
6,7,can't predict,Database Administrator,116.67
5,8,can't predict,Database Administrator,160
8,2,Very Poor,Cybersecurity Analyst,25
7,7,Excellent,Data Analyst,100
7,5,Good,Data Analyst,71.43
8,7,Very Good,Full Stack Developer,87.5
9,7,Good,Database Administrator,77.78
2,5,can't predict,Data Analyst,250
10,4,Below Average,Data Analyst,40
10,8,Very Good,Artificial Intelligence (AI) Engineer,80
5,10,can't predict,Cybersecurity Analyst,200
10,10,Excellent,Data Analyst,100
2,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
5,7,can't predict,Database Administrator,140
7,4,Average,Artificial Intelligence (AI) Engineer,57.14
10,9,Excellent,Cybersecurity Analyst,90
7,10,can't predict,Data Analyst,142.86
1,10,can't predict,Database Administrator,1000
6,1,Extremely Poor,Full Stack Developer,16.67
10,2,Very Poor,Artificial Intelligence (AI) Engineer,20
4,8,can't predict,Artificial Intelligence (AI) Engineer,200
7,5,Good,Data Analyst,71.43
5,7,can't predict,Database Administrator,140
7,10,can't predict,Cybersecurity Analyst,142.86
8,6,Good,Data Analyst,75
5,2,Below Average,Full Stack Developer,40
1,1,Excellent,Data Analyst,100
9,9,Excellent,Data Analyst,100
2,7,can't predict,Data Analyst,350
8,5,Above Average,Cybersecurity Analyst,62.5
1,5,can't predict,Full Stack Developer,500
8,1,Extremely Poor,Full Stack Developer,12.5
5,2,Below Average,Full Stack Developer,40
2,4,can't predict,Full Stack Developer,200
4,6,can't predict,Artificial Intelligence (AI) Engineer,150
9,8,Very Good,Data Analyst,88.89
6,0,Needs Improvement,Data Analyst,0
8,8,Excellent,Artificial Intelligence (AI) Engineer,100
7,2,Very Poor,Data Analyst,28.57
4,5,can't predict,Full Stack Developer,125
4,8,can't predict,Data Analyst,200
4,4,Excellent,Database Administrator,100
9,9,Excellent,Data Analyst,100
9,8,Very Good,Full Stack Developer,88.89
8,3,Poor,Artificial Intelligence (AI) Engineer,37.5
6,6,Excellent,Full Stack Developer,100
1,3,can't predict,Cybersecurity Analyst,300
1,6,can't predict,Database Administrator,600
10,6,Above Average,Data Analyst,60
9,6,Above Average,Full Stack Developer,66.67
2,3,can't predict,Artificial Intelligence (AI) Engineer,150
2,8,can't predict,Data Analyst,400
3,6,can't predict,Cybersecurity Analyst,200
3,7,can't predict,Database Administrator,233.33
4,7,can't predict,Cybersecurity Analyst,175
1,6,can't predict,Artificial Intelligence (AI) Engineer,600
7,4,Average,Full Stack Developer,57.14
1,6,can't predict,Artificial Intelligence (AI) Engineer,600
8,9,can't predict,Database Administrator,112.5
4,9,can't predict,Cybersecurity Analyst,225
6,1,Extremely Poor,Full Stack Developer,16.67
5,9,can't predict,Database Administrator,180
3,10,can't predict,Data Analyst,333.33
1,8,can't predict,Full Stack Developer,800
10,6,Above Average,Database Administrator,60
7,6,Very Good,Full Stack Developer,85.71
9,3,Poor,Artificial Intelligence (AI) Engineer,33.33
2,5,can't predict,Data Analyst,250
7,7,Excellent,Artificial Intelligence (AI) Engineer,100
10,8,Very Good,Full Stack Developer,80
5,10,can't predict,Cybersecurity Analyst,200
2,8,can't predict,Cybersecurity Analyst,400
1,2,can't predict,Cybersecurity Analyst,200
10,5,Average,Artificial Intelligence (AI) Engineer,50
8,8,Excellent,Data Analyst,100
1,8,can't predict,Full Stack Developer,800
7,3,Below Average,Cybersecurity Analyst,42.86
2,10,can't predict,Full Stack Developer,500
3,5,can't predict,Database Administrator,166.67
4,4,Excellent,Full Stack Developer,100
3,3,Excellent,Data Analyst,100
10,6,Above Average,Data Analyst,60
8,10,can't predict,Data Analyst,125
3,3,Excellent,Database Administrator,100
9,8,Very Good,Artificial Intelligence (AI) Engineer,88.89
3,5,can't predict,Cybersecurity Analyst,166.67
10,4,Below Average,Full Stack Developer,40
6,2,Poor,Artificial Intelligence (AI) Engineer,33.33
1,1,Excellent,Full Stack Developer,100
7,5,Good,Artificial Intelligence (AI) Engineer,71.43
8,8,Excellent,Data Analyst,100
4,6,can't predict,Artificial Intelligence (AI) Engineer,150
4,0,Needs Improvement,Data Analyst,0
10,4,Below Average,Database Administrator,40
6,9,can't predict,Full Stack Developer,150
1,2,can't predict,Cybersecurity Analyst,200
10,1,Extremely Poor,Cybersecurity Analyst,10
7,8,can't predict,Artificial Intelligence (AI) Engineer,114.29
5,10,can't predict,Database Administrator,200
5,1,Very Poor,Full Stack Developer,20
6,3,Average,Data Analyst,50
8,5,Above Average,Full Stack Developer,62.5
9,6,Above Average,Artificial Intelligence (AI) Engineer,66.67
6,9,can't predict,Database Administrator,150
9,1,Extremely Poor,Full Stack Developer,11.11
9,3,Poor,Cybersecurity Analyst,33.33
4,6,can't predict,Artificial Intelligence (AI) Engineer,150
2,0,Needs Improvement,Data Analyst,0
9,4,Below Average,Data Analyst,44.44
2,1,Average,Artificial Intelligence (AI) Engineer,50
2,1,Average,Data Analyst,50
3,7,can't predict,Data Analyst,233.33
7,10,can't predict,Full Stack Developer,142.86
4,6,can't predict,Artificial Intelligence (AI) Engineer,150
3,9,can't predict,Artificial Intelligence (AI) Engineer,300
7,0,Needs Improvement,Data Analyst,0
9,3,Poor,Artificial Intelligence (AI) Engineer,33.33
6,10,can't predict,Data Analyst,166.67
1,0,Needs Improvement,Full Stack Developer,0
3,10,can't predict,Full Stack Developer,333.33
8,10,can't predict,Full Stack Developer,125
6,2,Poor,Data Analyst,33.33
3,4,can't predict,Data Analyst,133.33
8,0,Needs Improvement,Database Administrator,0
9,8,Very Good,Data Analyst,88.89
5,1,Very Poor,Cybersecurity Analyst,20
2,2,Excellent,Data Analyst,100
1,6,can't predict,Full Stack Developer,600
9,8,Very Good,Full Stack Developer,88.89
2,1,Average,Artificial Intelligence (AI) Engineer,50
9,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
9,9,Excellent,Artificial Intelligence (AI) Engineer,100
4,10,can't predict,Artificial Intelligence (AI) Engineer,250
6,7,can't predict,Full Stack Developer,116.67
10,1,Extremely Poor,Data Analyst,10
8,9,can't predict,Artificial Intelligence (AI) Engineer,112.5
1,9,can't predict,Data Analyst,900
10,5,Average,Data Analyst,50
9,3,Poor,Data Analyst,33.33
3,7,can't predict,Full Stack Developer,233.33
6,5,Very Good,Full Stack Developer,83.33
6,7,can't predict,Database Administrator,116.67
1,6,can't predict,Data Analyst,600
10,5,Average,Data Analyst,50
8,6,Good,Data Analyst,75
9,8,Very Good,Data Analyst,88.89
7,9,can't predict,Cybersecurity Analyst,128.57
4,8,can't predict,Full Stack Developer,200
10,10,Excellent,Artificial Intelligence (AI) Engineer,100
5,10,can't predict,Full Stack Developer,200
8,10,can't predict,Database Administrator,125
5,1,Very Poor,Data Analyst,20
1,4,can't predict,Database Administrator,400
2,10,can't predict,Artificial Intelligence (AI) Engineer,500
3,4,can't predict,Full Stack Developer,133.33
8,7,Very Good,Cybersecurity Analyst,87.5
6,3,Average,Artificial Intelligence (AI) Engineer,50
8,10,can't predict,Database Administrator,125
4,8,can't predict,Database Administrator,200
8,0,Needs Improvement,Data Analyst,0
10,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
2,6,can't predict,Full Stack Developer,300
8,6,Good,Database Administrator,75
4,7,can't predict,Data Analyst,175
8,7,Very Good,Full Stack Developer,87.5
2,3,can't predict,Cybersecurity Analyst,150
5,1,Very Poor,Database Administrator,20
2,7,can't predict,Cybersecurity Analyst,350
6,0,Needs Improvement,Data Analyst,0
3,10,can't predict,Cybersecurity Analyst,333.33
8,6,Good,Database Administrator,75
1,0,Needs Improvement,Data Analyst,0
1,3,can't predict,Artificial Intelligence (AI) Engineer,300
6,6,Excellent,Artificial Intelligence (AI) Engineer,100
8,0,Needs Improvement,Cybersecurity Analyst,0
5,8,can't predict,Artificial Intelligence (AI) Engineer,160
7,0,Needs Improvement,Database Administrator,0
7,7,Excellent,Data Analyst,100
3,4,can't predict,Full Stack Developer,133.33
9,5,Average,Cybersecurity Analyst,55.56
4,2,Average,Cybersecurity Analyst,50
2,7,can't predict,Full Stack Developer,350
4,10,can't predict,Data Analyst,250
10,3,Poor,Full Stack Developer,30
7,7,Excellent,Full Stack Developer,100
3,9,can't predict,Data Analyst,300
2,10,can't predict,Database Administrator,500
7,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
7,3,Below Average,Data Analyst,42.86
4,5,can't predict,Data Analyst,125
4,6,can't predict,Data Analyst,150
5,0,Needs Improvement,Cybersecurity Analyst,0
5,10,can't predict,Data Analyst,200
1,0,Needs Improvement,Data Analyst,0
5,8,can't predict,Artificial Intelligence (AI) Engineer,160
9,9,Excellent,Full Stack Developer,100
3,8,can't predict,Data Analyst,266.67
10,7,Good,Artificial Intelligence (AI) Engineer,70
4,6,can't predict,Data Analyst,150
1,2,can't predict,Data Analyst,200
8,5,Above Average,Data Analyst,62.5
9,5,Average,Artificial Intelligence (AI) Engineer,55.56
7,5,Good,Full Stack Developer,71.43
6,1,Extremely Poor,Data Analyst,16.67
1,5,can't predict,Database Administrator,500
2,4,can't predict,Full Stack Developer,200
4,2,Average,Database Administrator,50
4,6,can't predict,Data Analyst,150
4,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
9,0,Needs Improvement,Data Analyst,0
6,6,Excellent,Cybersecurity Analyst,100
7,9,can't predict,Data Analyst,128.57
9,2,Very Poor,Full Stack Developer,22.22
6,6,Excellent,Full Stack Developer,100
4,7,can't predict,Full Stack Developer,175
8,4,Average,Artificial Intelligence (AI) Engineer,50
9,4,Below Average,Database Administrator,44.44
4,4,Excellent,Full Stack Developer,100
9,9,Excellent,Data Analyst,100
8,7,Very Good,Full Stack Developer,87.5
8,0,Needs Improvement,Data Analyst,0
3,3,Excellent,Cybersecurity Analyst,100
10,4,Below Average,Full Stack Developer,40
4,8,can't predict,Artificial Intelligence (AI) Engineer,200
5,2,Below Average,Artificial Intelligence (AI) Engineer,40
6,8,can't predict,Database Administrator,133.33
8,7,Very Good,Data Analyst,87.5
5,4,Very Good,Data Analyst,80
10,5,Average,Data Analyst,50
8,7,Very Good,Database Administrator,87.5
6,4,Above Average,Cybersecurity Analyst,66.67
8,7,Very Good,Cybersecurity Analyst,87.5
1,8,can't predict,Cybersecurity Analyst,800
1,4,can't predict,Artificial Intelligence (AI) Engineer,400
7,10,can't predict,Data Analyst,142.86
6,2,Poor,Artificial Intelligence (AI) Engineer,33.33
5,5,Excellent,Data Analyst,100
1,10,can't predict,Data Analyst,1000
6,4,Above Average,Database Administrator,66.67
7,4,Average,Artificial Intelligence (AI) Engineer,57.14
2,9,can't predict,Database Administrator,450
1,2,can't predict,Artificial Intelligence (AI) Engineer,200
10,2,Very Poor,Data Analyst,20
3,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
2,6,can't predict,Data Analyst,300
6,0,Needs Improvement,Full Stack Developer,0
3,9,can't predict,Full Stack Developer,300
1,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
7,0,Needs Improvement,Artificial Intelligence (AI) Engineer,0
10,4,Below Average,Data Analyst,40
3,8,can't predict,Data Analyst,266.67
7,3,Below Average,Full Stack Developer,42.86
8,7,Very Good,Full Stack Developer,87.5
6,7,can't predict,Data Analyst,116.67
8,4,Average,Database Administrator,50
7,6,Very Good,Full Stack Developer,85.71
10,10,Excellent,Artificial Intelligence (AI) Engineer,100
2,8,can't predict,Cybersecurity Analyst,400
8,3,Poor,Database Administrator,37.5
1,5,can't predict,Data Analyst,500
10,9,Excellent,Cybersecurity Analyst,90
6,5,Very Good,Database Administrator,83.33
7,7,Excellent,Full Stack Developer,100
9,4,Below Average,Artificial Intelligence (AI) Engineer,44.44
7,6,Very Good,Data Analyst,85.71
6,1,Extremely Poor,Full Stack Developer,16.67
1,5,can't predict,Data Analyst,500
4,7,can't predict,Data Analyst,175
